account_no,customer_id,branch_id,account_type,balance,date_open
1,25,1,Current,5076.40,2019-01-09
2,37,1,Current,5961.10,2022-04-26
3,9,1,Current,3817.24,2019-10-25
4,51,1,Current,8669.11,2021-02-13
5,43,2,Savings,1147.59,2019-02-07
6,66,2,Savings,7660.54,2021-11-13
7,11,3,Current,4237.18,2020-02-17
8,77,3,Savings,6812.43,2020-12-26
9,15,4,Current,9154.94,2022-04-14
10,45,4,Current,3063.66,2023-10-18
11,65,5,Savings,7886.86,2019-03-07
12,8,5,Savings,4564.69,2022-03-08
13,85,5,Savings,5241.98,2021-03-08
14,23,6,Current,4383.32,2021-07-03
15,42,6,Current,7093.33,2021-03-27
16,49,7,Savings,3649.39,2023-07-08
17,10,7,Current,8142.35,2019-11-04
18,32,7,Current,4891.71,2023-04-02
19,84,8,Current,4472.26,2023-09-21
20,13,8,Current,7039.83,2021-07-16
21,28,1,Savings,4395.58,2023-01-25
22,67,2,Savings,9282.03,2022-01-22
23,2,3,Current,6167.83,2020-06-02
24,69,4,Savings,9304.69,2021-05-14
25,35,5,Savings,6351.43,2020-03-27
26,33,6,Current,8233.46,2019-07-22
27,9,7,Savings,6757.93,2022-06-15
28,8,8,Savings,7045.66,2022-10-31
29,15,1,Current,4470.59,2019-09-30
30,26,2,Current,8871.11,2019-06-02
31,30,3,Savings,1702.45,2020-11-26
32,75,4,Savings,2092.22,2021-04-26
33,29,5,Current,7355.71,2021-03-09
34,91,6,Savings,9780.49,2022-11-22
35,17,7,Savings,1730.90,2020-01-30
36,73,8,Savings,3700.21,2023-07-05
37,36,1,Savings,6076.57,2019-05-31
38,87,2,Savings,1432.50,2021-09-11
39,64,3,Current,3520.21,2019-10-14
40,12,4,Savings,8497.18,2019-01-24
41,99,5,Current,9970.95,2020-03-06
42,45,6,Savings,8333.56,2020-05-15
43,16,7,Savings,9201.40,2019-03-10
44,97,8,Savings,3463.15,2023-10-22
45,7,1,Savings,2426.92,2023-06-04
46,86,2,Current,9600.98,2018-11-16
47,80,3,Savings,1839.59,2020-03-31
48,24,4,Savings,1941.89,2022-12-04
49,96,5,Current,1839.65,2020-11-02
50,73,6,Savings,5603.52,2019-01-24
51,28,7,Savings,5440.44,2022-08-13
52,81,8,Savings,6576.79,2023-09-06
53,6,1,Current,8580.84,2023-03-25
54,68,2,Current,1304.13,2022-11-09
55,76,3,Savings,1338.36,2020-04-07
56,50,4,Current,9736.64,2019-08-27
57,16,5,Savings,1067.56,2022-08-30
58,41,6,Savings,2706.90,2022-05-23
59,11,7,Savings,5242.01,2019-02-05
60,83,8,Current,8231.03,2022-04-07
61,17,1,Savings,9108.47,2023-06-11
62,89,2,Savings,5643.80,2019-12-23
63,30,3,Current,7434.09,2023-07-11
64,58,4,Current,3481.18,2020-09-27
65,89,5,Savings,4482.49,2019-06-24
66,72,6,Savings,7616.80,2022-04-10
67,81,7,Savings,6808.87,2023-07-27
68,79,8,Savings,2746.02,2019-11-25
69,33,1,Savings,7115.37,2020-07-02
70,14,2,Current,2869.83,2020-12-04
71,26,3,Current,1002.69,2022-08-22
72,84,4,Savings,4480.31,2019-07-25
73,35,5,Current,2908.12,2020-07-21
74,10,6,Current,6691.47,2018-11-24
75,23,7,Current,4471.49,2021-04-07
76,27,8,Savings,5331.00,2022-01-19
77,50,1,Savings,7429.68,2019-10-20
78,36,2,Current,9610.45,2021-11-10
79,69,3,Savings,2730.23,2023-08-16
80,75,4,Savings,9084.74,2019-04-08
81,16,5,Current,8599.46,2023-11-07
82,55,6,Current,5020.51,2021-08-07
83,61,7,Current,8154.49,2022-04-02
84,76,8,Current,7798.85,2020-07-23
85,36,1,Savings,7150.43,2020-12-27
86,9,2,Current,4040.23,2023-10-08
87,29,3,Savings,7733.58,2019-12-08
88,99,4,Savings,2189.49,2019-08-12
89,56,5,Savings,3982.51,2020-02-07
90,73,6,Current,2570.39,2023-01-02
91,66,7,Savings,5330.39,2019-12-06
92,82,8,Savings,1223.78,2021-12-30
93,11,1,Current,5775.54,2020-08-14
94,23,2,Current,9511.55,2022-01-27
95,65,3,Current,4211.86,2020-02-07
96,37,4,Current,9588.57,2020-03-01
97,54,5,Current,5874.02,2019-10-02
98,73,6,Current,4955.06,2022-07-07
99,33,7,Current,2507.04,2023-03-01
100,90,8,Savings,9984.51,2018-12-23
101,31,1,Savings,4026.82,2021-02-21
102,87,2,Savings,7203.95,2019-08-02
103,40,3,Savings,9781.78,2021-08-11
104,99,4,Current,1372.64,2023-09-13
105,18,5,Savings,2933.93,2023-02-27
106,82,6,Current,1224.27,2023-01-25
107,62,7,Current,7159.57,2023-06-23
108,43,8,Current,4544.25,2021-04-27
109,40,1,Current,4660.37,2020-10-10
110,27,2,Savings,4038.80,2021-12-19
111,31,3,Current,1287.03,2019-03-26
112,34,4,Savings,9125.04,2020-11-16
113,55,5,Current,4668.43,2019-01-18
114,56,6,Current,2718.51,2022-11-19
115,60,7,Savings,2822.38,2021-10-14
116,71,8,Current,6083.81,2020-07-13
117,71,1,Savings,9170.64,2023-11-02
118,20,2,Savings,2383.05,2020-05-15
119,52,3,Current,4722.99,2022-01-25
120,16,4,Savings,4917.12,2021-09-19
121,79,5,Savings,2335.30,2021-09-07
122,28,6,Current,2816.40,2020-09-21
123,59,7,Current,4341.86,2020-04-02
124,54,8,Savings,5650.27,2019-10-12
125,29,1,Savings,2539.48,2019-06-29
126,20,2,Savings,6290.81,2021-07-17
127,70,3,Savings,4496.33,2020-08-27
128,23,4,Current,1829.31,2023-09-07
129,37,5,Current,2661.89,2019-03-30
130,50,6,Savings,9187.90,2022-05-18
131,46,7,Current,4482.71,2019-04-27
132,15,8,Current,9669.11,2019-01-23
133,49,1,Current,7940.15,2020-05-18
134,8,2,Savings,3502.78,2023-09-03
135,9,3,Savings,9669.74,2018-11-24
136,9,4,Current,3264.24,2019-05-17
137,19,5,Savings,8943.38,2022-01-18
138,98,6,Savings,7665.90,2021-11-19
139,26,7,Savings,8082.53,2021-01-29
140,36,8,Savings,2132.72,2019-02-17
141,3,1,Current,6073.94,2020-06-15
142,85,2,Current,5650.25,2019-05-12
143,20,3,Savings,8574.88,2021-03-12
144,98,4,Savings,3726.16,2021-07-20
145,52,5,Current,2918.10,2022-12-23
146,60,6,Savings,5552.86,2023-04-09
147,89,7,Savings,9556.99,2021-09-02
148,19,8,Savings,6171.54,2022-02-13
149,35,1,Savings,7226.52,2022-02-05
150,19,2,Current,7793.11,2021-08-15
