loan_id,customer_id,account_no,loan_amount,loan_type,issue_date,int_rate
1,65,11,9091.99,Mortgage,2022-02-17,4.77
2,59,59,17625.91,Mortgage,2021-04-11,1.91
3,67,22,41108.52,Personal,2021-10-23,3.86
4,47,47,17641.92,Personal,2023-02-26,1.74
5,10,17,25465.98,Mortgage,2020-11-30,2.04
6,73,36,32939.75,Personal,2019-04-14,1.50
7,57,57,36839.04,Mortgage,2020-03-29,4.21
8,65,11,20583.71,Personal,2021-05-10,1.61
9,57,57,32472.04,Mortgage,2021-01-15,4.31
10,44,44,14903.36,Mortgage,2021-03-04,1.71
11,70,70,5956.19,Personal,2020-06-22,3.97
12,39,39,20809.82,Personal,2023-02-13,2.17
13,2,23,14518.35,Personal,2023-07-31,3.94
14,90,90,35804.91,Mortgage,2019-03-09,3.44
15,52,52,43281.76,Mortgage,2018-12-06,3.70
16,20,118,36550.86,Mortgage,2023-09-19,1.33
17,1,141,43798.47,Personal,2021-06-22,4.51
18,12,40,47325.62,Mortgage,2021-10-03,1.98
19,65,11,17129.78,Personal,2019-03-10,2.03
20,44,44,33926.44,Mortgage,2023-02-03,1.20
21,48,48,12627.64,Mortgage,2019-02-14,3.19
22,39,39,45949.19,Mortgage,2022-03-08,4.20
23,95,95,44064.21,Personal,2020-02-03,4.35
24,41,41,33257.59,Mortgage,2023-08-14,4.48
25,44,44,8148.28,Mortgage,2023-07-07,2.15
26,1,141,48415.44,Personal,2020-06-20,3.19
27,5,5,11536.93,Personal,2023-05-09,1.50
28,15,132,14410.42,Personal,2020-10-11,2.64
29,87,87,7247.42,Personal,2020-03-11,4.27
30,98,98,20241.07,Mortgage,2019-08-19,1.42
31,10,17,42109.25,Mortgage,2023-02-28,1.60
32,68,68,12087.72,Personal,2022-03-07,1.26
33,96,49,6431.43,Mortgage,2020-11-25,1.05
34,17,35,17026.85,Personal,2021-07-27,1.41
35,54,124,37722.61,Mortgage,2020-06-08,1.69
36,37,2,14406.07,Mortgage,2022-07-21,1.71
37,59,59,21536.75,Mortgage,2020-08-30,3.52
38,11,7,23465.94,Mortgage,2021-11-02,3.64
39,95,95,7293.18,Personal,2019-04-26,3.88
40,5,5,30831.30,Mortgage,2019-07-04,2.11
41,9,3,34674.41,Mortgage,2021-11-25,2.01
42,33,99,29287.75,Personal,2019-06-14,3.52
43,59,59,37629.39,Mortgage,2021-04-16,1.46
44,51,51,19944.51,Mortgage,2020-07-13,3.62
45,90,90,22265.24,Mortgage,2022-09-26,2.45
46,64,39,45313.03,Mortgage,2021-08-12,3.68
47,49,45,42403.46,Personal,2020-11-05,3.62
48,53,53,8395.23,Mortgage,2023-04-07,2.71
49,37,2,46429.24,Mortgage,2020-06-13,4.51
50,13,20,18731.98,Mortgage,2021-03-16,3.69
