transaction_id,account_no,transaction_type,amount,transaction_date
1,6,Withdrawal,400.18,2022-04-18 00:00:00
2,14,Deposit,473.79,2020-02-06 00:00:00
3,46,Withdrawal,903.73,2021-07-09 00:00:00
4,140,Deposit,265.12,2020-04-26 00:00:00
5,15,Withdrawal,820.08,2020-06-18 00:00:00
6,128,Deposit,460.67,2021-07-17 00:00:00
7,126,Withdrawal,516.20,2023-09-02 00:00:00
8,106,Deposit,150.65,2023-02-17 00:00:00
9,129,Deposit,706.20,2019-09-04 00:00:00
10,109,Deposit,851.38,2019-01-04 00:00:00
11,117,Deposit,217.87,2022-06-18 00:00:00
12,80,Withdrawal,129.43,2023-01-11 00:00:00
13,36,Withdrawal,950.41,2021-08-16 00:00:00
14,146,Deposit,678.73,2022-03-07 00:00:00
15,40,Withdrawal,474.01,2020-09-11 00:00:00
16,44,Withdrawal,909.39,2022-04-30 00:00:00
17,47,Deposit,688.16,2020-12-11 00:00:00
18,137,Withdrawal,263.06,2020-02-24 00:00:00
19,76,Deposit,143.21,2020-12-13 00:00:00
20,32,Withdrawal,629.59,2019-08-21 00:00:00
21,30,Withdrawal,716.29,2020-08-06 00:00:00
22,23,Deposit,516.58,2018-12-30 00:00:00
23,19,Withdrawal,176.59,2019-01-02 00:00:00
24,39,Withdrawal,468.69,2020-08-14 00:00:00
25,30,Deposit,338.56,2023-04-04 00:00:00
26,38,Deposit,890.50,2023-03-17 00:00:00
27,58,Withdrawal,719.56,2023-01-25 00:00:00
28,140,Withdrawal,754.17,2021-12-24 00:00:00
29,65,Deposit,776.22,2021-08-28 00:00:00
30,52,Withdrawal,450.31,2019-05-06 00:00:00
31,80,Deposit,834.31,2019-11-03 00:00:00
32,114,Withdrawal,395.32,2019-05-08 00:00:00
33,44,Deposit,996.48,2022-07-21 00:00:00
34,70,Deposit,947.75,2021-11-23 00:00:00
35,61,Withdrawal,520.63,2022-04-05 00:00:00
36,63,Deposit,638.43,2019-05-03 00:00:00
37,63,Deposit,717.35,2022-11-21 00:00:00
38,27,Withdrawal,484.58,2023-06-02 00:00:00
39,43,Withdrawal,869.20,2021-09-09 00:00:00
40,56,Deposit,946.01,2019-09-26 00:00:00
41,33,Deposit,516.08,2021-03-29 00:00:00
42,33,Deposit,947.94,2023-09-22 00:00:00
43,78,Deposit,371.29,2022-12-09 00:00:00
44,124,Deposit,420.66,2020-05-28 00:00:00
45,63,Deposit,615.75,2022-10-20 00:00:00
46,29,Deposit,442.38,2022-11-24 00:00:00
47,41,Deposit,900.13,2021-05-13 00:00:00
48,52,Deposit,779.70,2023-06-24 00:00:00
49,31,Deposit,299.44,2023-05-29 00:00:00
50,1,Withdrawal,180.74,2023-01-27 00:00:00
51,104,Withdrawal,418.67,2021-03-28 00:00:00
52,62,Deposit,870.96,2022-06-06 00:00:00
53,66,Deposit,483.35,2023-08-06 00:00:00
54,107,Deposit,206.47,2021-07-18 00:00:00
55,106,Deposit,454.19,2022-11-30 00:00:00
56,143,Deposit,571.13,2021-10-31 00:00:00
57,82,Withdrawal,615.74,2023-02-15 00:00:00
58,47,Withdrawal,869.44,2020-10-02 00:00:00
59,110,Deposit,506.90,2021-06-24 00:00:00
60,2,Deposit,747.36,2020-06-08 00:00:00
61,9,Withdrawal,769.75,2021-01-26 00:00:00
62,10,Deposit,779.44,2022-08-01 00:00:00
63,78,Withdrawal,649.87,2019-11-07 00:00:00
64,70,Deposit,637.11,2021-05-27 00:00:00
65,149,Deposit,466.14,2021-03-24 00:00:00
66,126,Withdrawal,344.63,2023-09-04 00:00:00
67,52,Withdrawal,887.19,2020-09-06 00:00:00
